Team,Result,For,Aga,Diff,HTf,HTa,,Opposition,Ground,Match Date
Italy,won,23,20,3,10,17,,v Scotland,Rome,15-Mar-08
Italy,lost,0,26,-26,0,14,,v South Africa,Cape Town,21-Jun-08
Italy,won,13,12,1,3,12,,v Argentina,Cordoba,28-Jun-08
Italy,lost,20,30,-10,14,14,,v Australia,Padova,08-Nov-08
Italy,lost,14,22,-8,3,9,,v Argentina,Torino,15-Nov-08
Italy,lost,17,25,-8,10,22,,v Pacific Is,Reggio Emilia,22-Nov-08
Italy,lost,11,36,-25,6,22,,v England,Twickenham,07-Feb-09
Italy,lost,9,38,-29,9,14,,v Ireland,Rome,15-Feb-09
Italy,lost,6,26,-20,3,16,,v Scotland,Murrayfield,28-Feb-09
Italy,lost,15,20,-5,9,7,,v Wales,Rome,14-Mar-09
Italy,lost,8,50,-42,3,25,,v France,Rome,21-Mar-09
Italy,lost,8,31,-23,3,17,,v Australia,Canberra,13-Jun-09
Italy,lost,12,34,-22,6,20,,v Australia,Melbourne,20-Jun-09
Italy,lost,6,27,-21,3,13,,v New Zealand,Christchurch,27-Jun-09
Italy,lost,6,20,-14,3,14,,v New Zealand,Milan,14-Nov-09
Italy,lost,10,32,-22,7,12,,v South Africa,Udine,21-Nov-09
Italy,won,24,6,18,14,6,,v Samoa,Ascoli Piceno,28-Nov-09
Italy,lost,11,29,-18,8,23,,v Ireland,Croke Park,06-Feb-10
Italy,lost,12,17,-5,6,6,,v England,Rome,14-Feb-10
Italy,won,16,12,4,6,6,,v Scotland,Rome,27-Feb-10
Italy,lost,20,46,-26,3,22,,v France,Stade de France,14-Mar-10
Italy,lost,10,33,-23,0,12,,v Wales,Millennium Stadium,20-Mar-10
Italy,lost,13,29,-16,3,22,,v South Africa,Witbank,19-Jun-10
Italy,lost,11,55,-44,6,27,,v South Africa,East London,26-Jun-10
Italy,lost,16,22,-6,6,6,,v Argentina,Verona,13-Nov-10
Italy,lost,14,32,-18,9,13,,v Australia,Firenze,20-Nov-10
Italy,won,24,16,8,9,16,,v Fiji,Modena,27-Nov-10
Italy,lost,11,13,-2,6,3,,v Ireland,Rome,05-Feb-11
Italy,lost,13,59,-46,6,31,,v England,Twickenham,12-Feb-11
Italy,lost,16,24,-8,11,21,,v Wales,Rome,26-Feb-11
Italy,won,22,21,1,6,8,,v France,Rome,12-Mar-11
Italy,lost,8,21,-13,8,6,,v Scotland,Murrayfield,19-Mar-11
Italy,won,31,24,7,14,17,,v Japan,Cesena,13-Aug-11
Italy,lost,12,23,-11,7,13,,v Scotland,Murrayfield,20-Aug-11
Italy,lost,6,32,-26,6,6,,v Australia,North Shore City,11-Sep-11
Italy,won,53,17,36,38,7,,v Russia,Nelson,20-Sep-11
Italy,won,27,10,17,20,10,,v USA,Nelson,27-Sep-11
Italy,lost,6,36,-30,6,9,,v Ireland,Dunedin,02-Oct-11
Italy,lost,12,30,-18,6,15,,v France,Stade de France,04-Feb-12
Italy,lost,15,19,-4,12,6,,v England,Rome,11-Feb-12
Italy,lost,10,42,-32,10,17,,v Ireland,Lansdowne Road,25-Feb-12
Italy,lost,3,24,-21,3,9,,v Wales,Millennium Stadium,10-Mar-12
Italy,won,13,6,7,3,3,,v Scotland,Rome,17-Mar-12
Italy,lost,22,37,-15,10,13,,v Argentina,San Juan,09-Jun-12
Italy,won,25,16,9,9,13,,v Canada,Toronto,15-Jun-12
Italy,won,30,10,20,20,10,,v USA,Houston,23-Jun-12
Italy,won,28,23,5,18,16,,v Tonga,Brescia,10-Nov-12
Italy,lost,10,42,-32,7,13,,v New Zealand,Rome,17-Nov-12
Italy,lost,19,22,-3,6,22,,v Australia,Firenze,24-Nov-12
Italy,won,23,18,5,13,15,,v France,Rome,03-Feb-13
Italy,lost,10,34,-24,3,13,,v Scotland,Murrayfield,09-Feb-13
Italy,lost,9,26,-17,6,9,,v Wales,Rome,23-Feb-13
Italy,lost,11,18,-7,3,12,,v England,Twickenham,10-Mar-13
Italy,won,22,15,7,9,6,,v Ireland,Rome,16-Mar-13
Italy,lost,10,44,-34,0,20,,v South Africa,Durban,08-Jun-13
Italy,lost,10,39,-29,3,10,,v Samoa,Nelspruit,15-Jun-13
Italy,lost,29,30,-1,20,20,,v Scotland,Pretoria,22-Jun-13
Italy,lost,20,50,-30,10,19,,v Australia,Torino,09-Nov-13
Italy,won,37,31,6,20,5,,v Fiji,Cremona,16-Nov-13
Italy,lost,14,19,-5,9,10,,v Argentina,Rome,23-Nov-13
Italy,lost,15,23,-8,3,17,,v Wales,Millennium Stadium,01-Feb-14
Italy,lost,10,30,-20,3,9,,v France,Stade de France,09-Feb-14
Italy,lost,20,21,-1,13,3,,v Scotland,Rome,22-Feb-14
Italy,lost,7,46,-39,7,17,,v Ireland,Lansdowne Road,08-Mar-14
Italy,lost,11,52,-41,6,24,,v England,Rome,15-Mar-14
Italy,lost,14,25,-11,7,5,,v Fiji,Suva,07-Jun-14
Italy,lost,0,15,-15,0,9,,v Samoa,Apia,14-Jun-14
Italy,lost,23,26,-3,13,13,,v Japan,Tokyo,21-Jun-14
Italy,won,24,13,11,3,10,,v Samoa,Ascoli Piceno,08-Nov-14
Italy,lost,18,20,-2,12,10,,v Argentina,Genova,14-Nov-14
Italy,lost,6,22,-16,6,8,,v South Africa,Padova,22-Nov-14
Italy,lost,3,26,-23,3,9,,v Ireland,Rome,07-Feb-15
Italy,lost,17,47,-30,5,15,,v England,Twickenham,14-Feb-15
Italy,won,22,19,3,15,16,,v Scotland,Murrayfield,28-Feb-15
Italy,lost,0,29,-29,0,9,,v France,Rome,15-Mar-15
Italy,lost,20,61,-41,13,14,,v Wales,Rome,21-Mar-15
Italy,lost,12,16,-4,9,9,,v Scotland,Torino,22-Aug-15
Italy,lost,7,48,-41,7,23,,v Scotland,Murrayfield,29-Aug-15
Italy,lost,19,23,-4,11,8,,v Wales,Millennium Stadium,05-Sep-15
Italy,lost,10,32,-22,3,15,,v France,Twickenham,19-Sep-15
Italy,won,23,18,5,13,10,,v Canada,Leeds,26-Sep-15
Italy,lost,9,16,-7,6,10,,v Ireland,London,04-Oct-15
Italy,won,32,22,10,22,3,,v Romania,Exeter,11-Oct-15
Italy,lost,21,23,-2,8,10,,v France,Stade de France,06-Feb-16
Italy,lost,9,40,-31,9,11,,v England,Rome,14-Feb-16
Italy,lost,20,36,-16,10,17,,v Scotland,Rome,27-Feb-16
Italy,lost,15,58,-43,3,25,,v Ireland,Lansdowne Road,12-Mar-16
Italy,lost,14,67,-53,0,27,,v Wales,Millennium Stadium,19-Mar-16
Italy,lost,24,30,-6,16,17,,v Argentina,Santa Fe,11-Jun-16
Italy,won,24,20,4,11,10,,v USA,San Jose,18-Jun-16
Italy,won,20,18,2,9,9,,v Canada,Toronto,26-Jun-16
Italy,lost,10,68,-58,3,35,,v New Zealand,Rome,12-Nov-16
Italy,won,20,18,2,10,12,,v South Africa,Firenze,19-Nov-16
Italy,lost,17,19,-2,7,3,,v Tonga,Padova,26-Nov-16
Italy,lost,7,33,-26,7,3,,v Wales,Rome,05-Feb-17
Italy,lost,10,63,-53,10,28,,v Ireland,Rome,11-Feb-17
Italy,lost,15,36,-21,10,5,,v England,Twickenham,26-Feb-17
Italy,lost,18,40,-22,11,16,,v France,Rome,11-Mar-17
Italy,lost,0,29,-29,0,15,,v Scotland,Murrayfield,18-Mar-17
Italy,lost,13,34,-21,3,15,,v Scotland,Singpore,10-Jun-17
Italy,lost,19,22,-3,9,14,,v Fiji,Suva,17-Jun-17
Italy,lost,27,40,-13,13,21,,v Australia,Brisbane,24-Jun-17
Italy,won,19,10,9,10,10,,v Fiji,Catania,11-Nov-17
Italy,lost,15,31,-16,9,8,,v Argentina,Firenze,18-Nov-17
Italy,lost,6,35,-29,6,21,,v South Africa,Padova,25-Nov-17
Italy,lost,15,46,-31,10,17,,v England,Rome,04-Feb-18
Italy,lost,19,56,-37,0,28,,v Ireland,Lansdowne Road,10-Feb-18
Italy,lost,17,34,-17,7,11,,v France,Marseille,23-Feb-18
Italy,lost,14,38,-24,7,17,,v Wales,Millennium Stadium,11-Mar-18
Italy,lost,27,29,-2,17,12,,v Scotland,Rome,17-Mar-18
Italy,lost,17,34,-17,14,17,,v Japan,Oita,09-Jun-18
Italy,won,25,22,3,12,3,,v Japan,Kobe,16-Jun-18
Italy,lost,7,54,-47,7,14,,v Ireland,Chicago,03-Nov-18
Italy,won,28,17,11,18,7,,v Georgia,Firenze,10-Nov-18
Italy,lost,7,26,-19,0,14,,v Australia,Padova,17-Nov-18
Italy,lost,3,66,-63,3,31,,v New Zealand,Rome,24-Nov-18
Italy,lost,20,33,-13,3,12,,v Scotland,Murrayfield,02-Feb-19
Italy,lost,15,26,-11,7,12,,v Wales,Rome,09-Feb-19
Italy,lost,16,26,-10,16,12,,v Ireland,Rome,24-Feb-19
Italy,lost,14,57,-43,7,31,,v England,Twickenham,09-Mar-19
Italy,lost,14,25,-11,6,10,,v France,Rome,16-Mar-19
Italy,lost,10,29,-19,10,19,,v Ireland,Lansdowne Road,10-Aug-19
Italy,won,85,15,70,38,8,,v Russia,San Benedetto del Tronto,17-Aug-19
Italy,lost,19,47,-28,7,19,,v France,Stade de France,30-Aug-19
Italy,lost,0,37,-37,0,9,,v England,Newcastle,06-Sep-19
Italy,won,47,22,25,21,7,,v Namibia,Osaka,22-Sep-19
Italy,won,48,7,41,17,0,,v Canada,Fukuoka,26-Sep-19
Italy,lost,3,49,-46,3,17,,v South Africa,Shizuoka,04-Oct-19
Italy,lost,22,35,-13,10,23,,v France,Stade de France,09-Feb-20
