Team,Result,For,Aga,Diff,HTf,HTa,,Opposition,Ground,Match Date
Wales,won,14,0,14,8,0,,v Scotland,Cardiff,05-Feb-10
Wales,won,19,3,16,3,3,,v Ireland,Lansdowne Road,12-Mar-10
Wales,won,15,11,4,6,3,,v England,Swansea,21-Jan-11
Wales,won,32,10,22,7,4,,v Scotland,Inverleith,04-Feb-11
Wales,won,15,0,15,-,-,,v France,Parc des Princes,28-Feb-11
Wales,won,16,0,16,5,0,,v Ireland,Cardiff,11-Mar-11
Wales,lost,0,8,-8,-,-,,v England,Twickenham,20-Jan-12
Wales,won,21,6,15,7,3,,v Scotland,Swansea,03-Feb-12
Wales,lost,5,12,-7,5,0,,v Ireland,Belfast,09-Mar-12
Wales,won,14,8,6,6,8,,v France,Newport,25-Mar-12
Wales,lost,0,3,-3,0,3,,v South Africa,Cardiff,14-Dec-12
Wales,lost,0,12,-12,-,-,,v England,Cardiff,18-Jan-13
Wales,won,8,0,8,3,0,,v Scotland,Inverleith,01-Feb-13
Wales,won,11,8,3,3,0,,v France,Parc des Princes,27-Feb-13
Wales,won,16,13,3,8,8,,v Ireland,Swansea,08-Mar-13
Wales,lost,9,10,-1,4,5,,v England,Twickenham,17-Jan-14
Wales,won,24,5,19,7,5,,v Scotland,Cardiff,07-Feb-14
Wales,won,31,0,31,13,0,,v France,Swansea,02-Mar-14
Wales,won,11,3,8,3,3,,v Ireland,Belfast,14-Mar-14
Wales,lost,3,6,-3,3,6,,v,Swansea,21-Apr-19
Wales,won,19,5,14,3,5,,v England,Swansea,17-Jan-20
Wales,lost,5,9,-4,5,0,,v Scotland,Inverleith,07-Feb-20
Wales,won,6,5,1,-,-,,v France,Colombes,17-Feb-20
Wales,won,28,4,24,17,0,,v Ireland,Cardiff,13-Mar-20
Wales,lost,3,18,-15,0,12,,v England,Twickenham,15-Jan-21
Wales,lost,8,14,-6,0,11,,v Scotland,Swansea,05-Feb-21
Wales,won,12,4,8,12,0,,v France,Cardiff,26-Feb-21
Wales,won,6,0,6,-,-,,v Ireland,Belfast,12-Mar-21
Wales,won,28,6,22,17,3,,v England,Cardiff,21-Jan-22
Wales,draw,9,9,0,-,-,,v Scotland,Inverleith,04-Feb-22
Wales,won,11,5,6,3,0,,v Ireland,Swansea,11-Mar-22
Wales,won,11,3,8,-,-,,v France,Colombes,23-Mar-22
Wales,lost,3,7,-4,0,3,,v England,Twickenham,20-Jan-23
Wales,lost,8,11,-3,3,0,,v Scotland,Cardiff,03-Feb-23
Wales,won,16,8,8,5,3,,v France,Swansea,24-Feb-23
Wales,lost,4,5,-1,4,5,,v Ireland,Lansdowne Road,10-Mar-23
Wales,lost,9,17,-8,3,11,,v England,Swansea,19-Jan-24
Wales,lost,10,35,-25,0,22,,v Scotland,Inverleith,02-Feb-24
Wales,lost,10,13,-3,3,8,,v Ireland,Cardiff,08-Mar-24
Wales,won,10,6,4,7,6,,v France,Colombes,27-Mar-24
Wales,lost,0,19,-19,0,11,,v New Zealand,Swansea,29-Nov-24
Wales,lost,6,12,-6,3,6,,v England,Twickenham,17-Jan-25
Wales,lost,14,24,-10,0,18,,v Scotland,Swansea,07-Feb-25
Wales,won,11,5,6,3,0,,v France,Cardiff,28-Feb-25
Wales,lost,3,19,-16,0,8,,v Ireland,Belfast,14-Mar-25
Wales,draw,3,3,0,0,3,,v England,Cardiff,16-Jan-26
Wales,lost,5,8,-3,5,0,,v Scotland,Murrayfield,06-Feb-26
Wales,won,11,8,3,5,8,,v Ireland,Swansea,13-Mar-26
Wales,won,7,5,2,0,5,,v France,Colombes,05-Apr-26
Wales,lost,9,11,-2,6,11,,v England,Twickenham,15-Jan-27
Wales,lost,0,5,-5,0,5,,v Scotland,Cardiff,05-Feb-27
Wales,won,25,7,18,12,3,,v France,Swansea,26-Feb-27
Wales,lost,9,19,-10,0,11,,v Ireland,Lansdowne Road,12-Mar-27
Wales,lost,8,18,-10,3,5,,v Australia,Cardiff,26-Nov-27
Wales,lost,8,10,-2,3,10,,v England,Swansea,21-Jan-28
Wales,won,13,0,13,13,0,,v Scotland,Murrayfield,04-Feb-28
Wales,lost,10,13,-3,5,5,,v Ireland,Cardiff,10-Mar-28
Wales,lost,3,8,-5,3,0,,v France,Colombes,09-Apr-28
Wales,lost,3,8,-5,0,3,,v England,Twickenham,19-Jan-29
Wales,won,14,7,7,3,3,,v Scotland,Swansea,02-Feb-29
Wales,won,8,3,5,5,0,,v France,Cardiff,23-Feb-29
Wales,draw,5,5,0,0,5,,v Ireland,Belfast,09-Mar-29
Wales,lost,3,11,-8,0,3,,v England,Cardiff,18-Jan-30
Wales,lost,9,12,-3,9,8,,v Scotland,Murrayfield,01-Feb-30
Wales,won,12,7,5,6,7,,v Ireland,Swansea,08-Mar-30
Wales,won,11,0,11,3,0,,v France,Colombes,21-Apr-30
Wales,draw,11,11,0,6,8,,v England,Twickenham,17-Jan-31
Wales,won,13,8,5,-,-,,v Scotland,Cardiff,07-Feb-31
Wales,won,35,3,32,8,0,,v France,Swansea,28-Feb-31
Wales,won,15,3,12,4,3,,v Ireland,Belfast,14-Mar-31
Wales,lost,3,8,-5,3,0,,v South Africa,Swansea,05-Dec-31
Wales,won,12,5,7,-,-,,v England,Swansea,16-Jan-32
Wales,won,6,0,6,3,0,,v Scotland,Murrayfield,06-Feb-32
Wales,lost,10,12,-2,3,3,,v Ireland,Cardiff,12-Mar-32
Wales,won,7,3,4,0,3,,v England,Twickenham,21-Jan-33
Wales,lost,3,11,-8,0,6,,v Scotland,Swansea,04-Feb-33
Wales,lost,5,10,-5,0,7,,v Ireland,Belfast,11-Mar-33
Wales,lost,0,9,-9,0,6,,v England,Cardiff,20-Jan-34
Wales,won,13,6,7,5,0,,v Scotland,Murrayfield,03-Feb-34
Wales,won,13,0,13,-,-,,v Ireland,Swansea,10-Mar-34
Wales,draw,3,3,0,-,-,,v England,Twickenham,19-Jan-35
Wales,won,10,6,4,6,3,,v Scotland,Cardiff,02-Feb-35
Wales,lost,3,9,-6,0,6,,v Ireland,Belfast,09-Mar-35
Wales,won,13,12,1,0,3,,v New Zealand,Cardiff,21-Dec-35
Wales,draw,0,0,0,-,-,,v England,Swansea,18-Jan-36
Wales,won,13,3,10,8,0,,v Scotland,Murrayfield,01-Feb-36
Wales,won,3,0,3,3,0,,v Ireland,Cardiff,14-Mar-36
Wales,lost,3,4,-1,3,4,,v England,Twickenham,16-Jan-37
Wales,lost,6,13,-7,3,3,,v Scotland,Swansea,06-Feb-37
Wales,lost,3,5,-2,3,0,,v Ireland,Belfast,03-Apr-37
Wales,won,14,8,6,9,3,,v England,Cardiff,15-Jan-38
Wales,lost,6,8,-2,6,0,,v Scotland,Murrayfield,05-Feb-38
Wales,won,11,5,6,3,5,,v Ireland,Swansea,12-Mar-38
Wales,lost,0,3,-3,-,-,,v England,Twickenham,21-Jan-39
Wales,won,11,3,8,6,0,,v Scotland,Cardiff,04-Feb-39
Wales,won,7,0,7,-,-,,v Ireland,Belfast,11-Mar-39
Wales,lost,6,9,-3,3,5,,v England,Cardiff,18-Jan-47
Wales,won,22,8,14,6,8,,v Scotland,Murrayfield,01-Feb-47
Wales,won,3,0,3,3,0,,v France,Colombes,22-Mar-47
Wales,won,6,0,6,-,-,,v Ireland,Swansea,29-Mar-47
Wales,won,6,0,6,6,0,,v Australia,Cardiff,20-Dec-47
Wales,draw,3,3,0,0,3,,v England,Twickenham,17-Jan-48
Wales,won,14,0,14,-,-,,v Scotland,Cardiff,07-Feb-48
Wales,lost,3,11,-8,0,5,,v France,Swansea,21-Feb-48
Wales,lost,3,6,-3,3,3,,v Ireland,Belfast,13-Mar-48
Wales,won,9,3,6,3,3,,v England,Cardiff,15-Jan-49
Wales,lost,5,6,-1,0,3,,v Scotland,Murrayfield,05-Feb-49
Wales,lost,0,5,-5,-,-,,v Ireland,Swansea,12-Mar-49
Wales,lost,3,5,-2,3,0,,v France,Colombes,26-Mar-49
Wales,won,11,5,6,3,5,,v England,Twickenham,21-Jan-50
Wales,won,12,0,12,3,0,,v Scotland,Swansea,04-Feb-50
Wales,won,6,3,3,-,-,,v Ireland,Belfast,11-Mar-50
Wales,won,21,0,21,5,0,,v France,Cardiff,25-Mar-50
Wales,won,23,5,18,8,0,,v England,Swansea,20-Jan-51
Wales,lost,0,19,-19,0,3,,v Scotland,Murrayfield,03-Feb-51
Wales,draw,3,3,0,3,3,,v Ireland,Cardiff,10-Mar-51
Wales,lost,3,8,-5,3,0,,v France,Colombes,07-Apr-51
Wales,lost,3,6,-3,0,3,,v South Africa,Cardiff,22-Dec-51
Wales,won,8,6,2,5,6,,v England,Twickenham,19-Jan-52
Wales,won,11,0,11,8,0,,v Scotland,Cardiff,02-Feb-52
Wales,won,14,3,11,9,0,,v Ireland,Lansdowne Road,08-Mar-52
Wales,won,9,5,4,3,5,,v France,Swansea,22-Mar-52
Wales,lost,3,8,-5,3,5,,v England,Cardiff,17-Jan-53
Wales,won,12,0,12,6,0,,v Scotland,Murrayfield,07-Feb-53
Wales,won,5,3,2,-,-,,v Ireland,Swansea,14-Mar-53
Wales,won,6,3,3,3,0,,v France,Colombes,28-Mar-53
Wales,won,13,8,5,5,8,,v New Zealand,Cardiff,19-Dec-53
Wales,lost,6,9,-3,3,3,,v England,Twickenham,16-Jan-54
Wales,won,12,9,3,6,6,,v Ireland,Lansdowne Road,13-Mar-54
Wales,won,19,13,6,5,5,,v France,Cardiff,27-Mar-54
Wales,won,15,3,12,6,0,,v Scotland,Swansea,10-Apr-54
Wales,won,3,0,3,3,0,,v England,Cardiff,22-Jan-55
Wales,lost,8,14,-6,3,0,,v Scotland,Murrayfield,05-Feb-55
Wales,won,21,3,18,3,0,,v Ireland,Cardiff,12-Mar-55
Wales,won,16,11,5,11,0,,v France,Colombes,26-Mar-55
Wales,won,8,3,5,5,0,,v England,Twickenham,21-Jan-56
Wales,won,9,3,6,6,3,,v Scotland,Cardiff,04-Feb-56
Wales,lost,3,11,-8,3,0,,v Ireland,Lansdowne Road,10-Mar-56
Wales,won,5,3,2,-,-,,v France,Cardiff,24-Mar-56
Wales,lost,0,3,-3,0,3,,v England,Cardiff,19-Jan-57
Wales,lost,6,9,-3,6,6,,v Scotland,Murrayfield,02-Feb-57
Wales,won,6,5,1,3,5,,v Ireland,Cardiff,09-Mar-57
Wales,won,19,13,6,8,3,,v France,Colombes,23-Mar-57
Wales,won,9,3,6,0,3,,v Australia,Cardiff,04-Jan-58
Wales,draw,3,3,0,3,0,,v England,Twickenham,18-Jan-58
Wales,won,8,3,5,5,0,,v Scotland,Cardiff,01-Feb-58
Wales,won,9,6,3,0,6,,v Ireland,Lansdowne Road,15-Mar-58
Wales,lost,6,16,-10,3,3,,v France,Cardiff,29-Mar-58
Wales,won,5,0,5,5,0,,v England,Cardiff,17-Jan-59
Wales,lost,5,6,-1,5,6,,v Scotland,Murrayfield,07-Feb-59
Wales,won,8,6,2,0,6,,v Ireland,Cardiff,14-Mar-59
Wales,lost,3,11,-8,3,8,,v France,Colombes,04-Apr-59
Wales,lost,6,14,-8,0,14,,v England,Twickenham,16-Jan-60
Wales,won,8,0,8,-,-,,v Scotland,Cardiff,06-Feb-60
Wales,won,10,9,1,5,6,,v Ireland,Lansdowne Road,12-Mar-60
Wales,lost,8,16,-8,3,5,,v France,Cardiff,26-Mar-60
Wales,lost,0,3,-3,0,3,,v South Africa,Cardiff,03-Dec-60
Wales,won,6,3,3,6,0,,v England,Cardiff,21-Jan-61
Wales,lost,0,3,-3,0,3,,v Scotland,Murrayfield,11-Feb-61
Wales,won,9,0,9,3,0,,v Ireland,Cardiff,11-Mar-61
Wales,lost,6,8,-2,3,3,,v France,Colombes,25-Mar-61
Wales,draw,0,0,0,-,-,,v England,Twickenham,20-Jan-62
Wales,lost,3,8,-5,0,8,,v Scotland,Cardiff,03-Feb-62
Wales,won,3,0,3,3,0,,v France,Cardiff,24-Mar-62
Wales,draw,3,3,0,0,3,,v Ireland,Lansdowne Road,17-Nov-62
Wales,lost,6,13,-7,0,5,,v England,Cardiff,19-Jan-63
Wales,won,6,0,6,3,0,,v Scotland,Murrayfield,02-Feb-63
Wales,lost,6,14,-8,3,8,,v Ireland,Cardiff,09-Mar-63
Wales,lost,3,5,-2,3,0,,v France,Colombes,23-Mar-63
Wales,lost,0,6,-6,0,3,,v New Zealand,Cardiff,21-Dec-63
Wales,draw,6,6,0,3,6,,v England,Twickenham,18-Jan-64
Wales,won,11,3,8,0,3,,v Scotland,Cardiff,01-Feb-64
Wales,won,15,6,9,5,6,,v Ireland,Lansdowne Road,07-Mar-64
Wales,draw,11,11,0,3,11,,v France,Cardiff,21-Mar-64
Wales,lost,3,24,-21,3,3,,v South Africa,Durban,23-May-64
Wales,won,14,3,11,3,0,,v England,Cardiff,16-Jan-65
Wales,won,14,12,2,8,6,,v Scotland,Murrayfield,06-Feb-65
Wales,won,14,8,6,5,0,,v Ireland,Cardiff,13-Mar-65
